content,label
我与京东已相识9年,|
真的无话可说,|
当然自营快递时效也是相当的高效,|
尾片温度高与宣传不符,|
物流很快性价比高,|
非常不错的小家电,|
温度太慢,|
具体怎么样不知道,|
车费都要花大几十,|
格力品牌质量就是好,|
想拒收就说要承担45元运费,|
太迷你了,|
取暖特别慢,|
不会再在这家店买第二次,|
可是使用了发现还挺好的,|
当天上午买下午就到了,|
这款电暖器在十多平的屋子里开的话,|
价格不是很贵,|
十万分感谢,|
一提起就自动停机,|
一个小时房间仍然没暖和,制热效果
把门窗闭实开到2200瓦30度的最高功率和最高温度,|
就是没有声音的,|
太恐怖??了,|
之前买了艾美特的踢脚线取暖器,|
耗电情况：这个没有注意,产品功耗
希望看见这条追评的朋友,|
冬天有的时候衣服没有干,|
最近变天我才开始用,|
取暖效果：热的很快静音效果：声音非常小,|
浴室洗澡必入,|
还不给退款,|
快递很棒,|
底座安装方便,|
就是有点小费电,产品功耗
静音效果优秀,|
开着坐旁边才能暖和,制热效果
烤手挺不错,|
使用时不同档位声音大小也不同总体来说声音控制的不错,|
尤其自营商品,|
关键是电暖器就得买好的品牌,|
转天就能送到,|
超级实用方便,|
水褥子,|
暖和安全设计：考虑周全,制热效果
在江苏老家使用,|
很满意的一次网购还没有用,|
自带加湿器,|
但是还是觉得心里不踏实,|
评价比较晚,|
安全模式很好,|
冬天换尿不湿,|
叠小放在衣架上,|
也许只有抱到烤都不知道那些好评是钱买来的吧,|
还能不下床调整温度,|
有小孩晾衣服也很方便,|
觉得暖风机和油酊各有优势,|
用了几天不错买家太度好,|
用起来就不会干燥,|
没有那么好用,|
就是纳闷京东还随机赠送东西给我：一条划痕+一根头发其他评论可以看看上面的一条评论,外观
这次又买了一台对衡式的,|
每天早上豆把宝宝衣服烤暖和给他穿非常棒,制热效果
非常管用,|
同款买的这是第三个,|
安全其他特色：加湿盒和架子很有用处哦刚买回来兴奋的取快递,|
两个小时升了5度,|
在接近20平方的房间效果明显,|
南方广东,|
听不到太大噪音,|
比电暖气好用一点,|
安全设计：之前是先买的智米,|
开一晚上也感觉不到热,制热效果
挺好的放卧室里面,|
电费在*元左右静音效果：静音效果还是相当棒的,产品功耗
还没开到过高档,|
外观设计：出几口从下出来更好,|
取暖效果：在小房间还可以,|
睡眠不好的会被惊醒,|
这个价格很值得,|
外观设计：土,|
整个卧室加温的效果要等正式使用后才能知道,|
手机端购买的上面没有这个退货条款,|
系列也不错,|
收到后使用几天才来评价,|
夏天用三个空调最高才三四百的电费啊,产品功耗
插电就能用,|
虽然是石英热管,|
东西效果不是很好打开半个小时手放在上面一点也不烫,制热效果
夏天不好放,|
慢慢的升温,|
你得等几个小时才会回复你呢,|
最先收到的一个快递,|
从另一间进来能感受到温差,|
一直从京东自营买,|
放在桌子上面吹的话会很方便很多,|
真是太恶心人了,|
适合面积小点的,|
京东自营发货速度快,|
放盒水效果更好,制热效果
基本够用,|
有股难闻的怪味,味道
可以走个好评,|
浴室里能增加温度,|
静音效果：不太行,|
有防倾倒断电装置,|
买了没什么作用,制热效果
什么时候给我退款,|
使用感受说不上好不好,|
没有想象中的好,|
除了制热慢和用电高之外几乎就无缺点可找了,制热效果
重口难调,|
供热稳定,|
上温较快,|
白色散热片看起来干净、耐脏,|
洗澡不冷了,|
根本就暖和不起来,制热效果
热量大外观设计：小巧,|
外观设计：漂亮取暖效果：非常差,制热效果
用的也非常好,|
属于小巧型的,|
售后说不报销维修费,|
希望都能让购物更便捷,|
不良商家,|
更重要的是家里的电线总跳闸,|
安全设计：初用感觉有味道,味道
这款电暖风体积小,|
不到1分钟,|
宝宝衣物及大人都可以挂两边或上面烘干,|
看不明白了都,|
这样富有人性化和亲和力的店家,|
开窗换气,|
先用着吧,|
静音效果：非常耗电,产品功耗
其他特色：理论上是比暖风机好用,|
和我心里想的一模一样,|
联系客服感觉比老百姓找政府还要难,|
灯也不亮了,|
在办公室用非常好,|
适合小范围适用,|
特适合15平方的南方使用,|
除了有点费电之外没有别的缺点,产品功耗
老婆很喜欢,|
遥控的很方便,|
送给父母冬天最好的礼物了,|
结果这么闹心,|
这些评价都是水军吗,|
京东物流一如既往的给力,|
后面再来追评吧,|
不知道取暖效果怎么样,|
耗电情况：哇哦,产品功耗
就开始升温了,|
她说要我去售后,|
买过很多产品了,|
开机两秒就热了,|
牢骚有点多只是一些建议,|
不太在意它了,|
一点都不热、而且超费电的,制热效果/产品功耗
样子挺好的,|
也不怎么占位置安全设计：没看到有发热红色的,|
放在卧室开最高档3小时,|
京东的东西当天买当天送到,|
真心觉得挺棒的,|
另外还有加湿功能暂时还没用,|
朋友买了tcl那款,|
前两张图是客厅的,|
非常方便便携,|
就是制热太慢,制热效果
顺便提高下室内温度,|
是目前快递里最满意的快递,|
已经被很多人夸了,|
无味好好好,|
连小太阳都比不上,|
说没声音的都是瞎扯,|
衣服一会儿就烘干了,|
但是需要加湿器屋里会偏干,|
非常不错的宝贝哟,|
我还等了半天还慌得很,|
暖气已收到,|
信价比高,|
以后会再来你家的,|
使用很安全,|
都看不到,|
本身就是不愿意折腾的人,|
给家里都安排上了,|
你就知道为什么了,|
突然间不制热,制热效果
唯一缺点,|
不易接触水而漏电其他特色：吹冷风也是个实用设计,|
做得非常好,|
正面下有保护开关,|
一如既往地好用,|
加入购物车等活动,|
其他特色：风扇也是先锋,|
耗电情况：耗电适中,产品功耗
设计比较人性化,|
容易烫到人,|
声音比空调都大,|
可信赖取暖效果：爸妈买的,|
放在小房间里还可以,|
电暖器关机时显示室内温度25度,|
而且的话就是换了一个衣架,|
个人还是喜欢小太阳,|
品牌的东西还是靠得住,|
贵的一千多,|
有用是有用,|
可以小爱同学控制,|
局部取暖挺方便的,|
耗电情况：一小时不到两度电,产品功耗
对方除了让你跳转至其他页面,|
没想到还没等到确认收货,|
取暖效果：可能是我房间比较高比较大,|
试用了一晚上效果还不错,|
客服小姐姐态度也很好,|
能用多久不知道,|
使用过程中经常出现跳闸断电的情况,|
让买家使劲吹嘘店家的产品,|
无暖气,|
反射区也还行,|
可以可以不错,|
总体来说比较满意,|
放在身旁挺好,|
初步试了一下,|
取暖器包装精致,|
靠近都感觉甚微,|
一个月都不到,|
耗电在可接受范围,产品功耗
取暖效果：制热速度挺快,|
希望要买好好选别家的,|
客服让我找天猫客服,|
今年买了寄回老家,|
静音效果：看网上有人说声音大,|
这款的静音效果真的很好,制热效果/声音
如果在10平方的小房间的话开着会暖,|
因为之前买的是电热扇觉得用得不安全才换这个的,|
和美的的同款,|
找个位置囤起来,|
制热不行退货还扣我45快递,制热效果
我只能说瓦数绝对没有虚标,|
开最强档的话热的很快,|
而且没有空调干燥,|
主要用来烘半干的小件衣服,|
就是因为热胀冷缩会响,|
买第二台了、一直使用格力,|
如果我收到一件好货肯定不会去找你售后故意找你茬,|
取暖效果：可以静音效果：无音,|
又试了一下,|
只有挨着电暖器还可以,|
绝对睡不着,|
能不出门最好不出门,|
很好用非常暖和哦,制热效果
每一次都有很满意的购物经历,|
不会烫伤小孩,|
整个办公室里都是味道,|
满屋子都热,|
没想到寄回确要寄河北,|
比过去的油汀要安静的多,|
照片前面的标志盖板后面没有铝片隔热小孩大人不小心或则调皮碰一下就立马烫伤非常危险尤其自家孩子比较好奇我刚开就跑过来摸太危险了,|
但是快递小哥实在是好,|
吹不到,|
有暖暖的感觉耗电情况：一小时得2度电静音效果：没声音我是空调,产品功耗
把手能够调节方位,|
你们这有点骚扰了明白吗,|
这款带遥控器,|
取暖效果：暖风十足,|
暖脚足够用,|
不过开两次就没有了,|
前几年一直用空调,|
1分钟左右就温度基本就可以稳定,|
第一反应想退货,|
等到天冷再用,|
*热速度够快,|
一个人搬6楼,|
金色蛮好看的,|
耗电情况：耗电量有点大,产品功耗
12号就到了,|
关键是我们都还没感受周边温度有任何变化,|
一下就热起来,|
希望能用更久时间,|
颜值很高哈,外观
本人使用20天的某一天,|
感觉离开半米就没什么效果,制热效果
静音效果：定时后一直有噪音的,|
买了一个还没用让朋友要走了,|
我觉得热度来得并不快,|
简直没法过呀,|
竟然比预计早一天送到,|
建议放通风处,|
期待已久的取暖器,|
东西不错就是不太大,|
用起来等别方便,|
我家的电器基本上都是在京东购的,|
热来的太慢了,|
小房间内升温很快,|
昨天降温,|
我是急用,|
晾衣支架很实用,|
下单之后,|
问了半天几个小时才回,|
真值得购买,|
而且还贼费电,产品功耗
199元我就当买个教训,|
想放哪就可以随手拎到哪.温度控制有三档,|
店家不退货,|
耗电情况：需要专用线,产品功耗
没有一点声音没有,声音
尤其是嘉实特别好用,|
售前推到售后,|
还需要配合空调使用,|
没拆开真的是不需要啊,|
我把取暖器放在身边用都没有一点暖意,|
可以很好用,|
可是它感受附近的温度上来了,|
打算退了,|
刚好家里有点事,|
静音效果：非常的小,|
不吃哦,|
外观设计：好看啊,|
有误导消费者,|
目前用着挺暖和的,制热效果
简约风很喜欢,|
静音效果：完全惊艳,|
不过可以调节风力大小,|
放在办公室比较隐蔽,|
分为三挡可调,|
很喜欢在京东自营买东西,|
相信大品牌,|
如果说房间大一点的话,|
大品牌做工就是不一样,|
说当天下午给我电话,|
开最大档声音有点大,|
而且没有退换,|
安全设计：还看不出来,|
整体升温效果很好,制热效果
安全设计：小朋友如果将取暖器拎起来,|
十几平米的卧室,|
小宝宝不怕磕碰,|
插座都烧坏了,|
30平的房间一下子就暖和了,制热效果
取暖效果：不暖和,制热效果
耐用也就有安全保障其他特色：冬天衣服难干,|
效果特别差,制热效果
方便不烫手,|
用质量很好,|
京东快递速度棒棒哒,|
就是不知道再冷点怎么样,|
为了凑评论字数,|
价钱便宜嘛,|
加热慢,制热效果
在13平的卧室里用效果可以,|
外观差不多,|
温度升的很快,|
真的挺好的,|
一直没有人处理,|
合算,|
风速太慢了,|
取暖效果：刚打开低档又换到高档,|
至少没旧之前,|
客服总是说反馈了,|
发货送货速度很快,|
今天早上10点就到货了,|
体积移动起来也很方便,|
之前自己家里用的一个,|
换挡就乱响,|
只有人靠在跟前才感觉到一点点热气,|
晚上开着也很安静,声音
性价比还是一件不错的产品,|
此款电暖器已是再次购买,|
静音效果：没的声音,|
大品牌效果好,制热效果
机器热,|
劝大家千万不要上当,|
空调不开用这个也可以过冬了,|
外观设计：挺好的不错,|
客服不够专业,|
真的还不如小太阳,制热范围
主要是厕所洗澡用的,|
其他特色：总之很不错,|
劝亲们别冒这个险,|
放在办公室脚下,|
刚好放在脚边,|
才二百多块钱,|
每天早上起床插上电宝宝起床就不冷了,|
很推荐,|
搭在架子上,|
费点电算什么,|
外型很美观,|
给孩子洗澡就不怕孩子冷了,|
一直有用小米的产品,|
外观设计：效果比较好,制热效果
和没开一样,|
基本开一档就行,|
十大功率输出而且插头不是家用插座,|
*不到*元,|
20号还有催送货,|
买之前你问的时候特别积极,|
所以拿出来试机了一会,|
开机40分钟,|
我比较懒,|
插上电等等就暖和起来了,制热效果
外观设计：外观不很重要,|
耗电情况：没有整夜开过,产品功耗
开一会娃都嫌热,|
温度也就升了一点点,|
非常适合房间使用,|
没想象的暖和,制热效果
外观设计：漂亮取暖效果：好耗电情况：耗电大静音效果：静,产品功耗/制热效果
目前刚到货,|
到时候开着地暖晒太阳,|
艾美特的东西非常,|
不过这个油汀效果还是非常好,制热效果
咸鱼找我,|
今年买了一个先锋的,|
中国好配送员,|
在家里开着暖和多了,制热效果
也不是我的问题啊,|
就准备淘汰了,|
就开始慢慢挑选,|
不懂,|
买来有十来天了,|
冬天用了再来追评,|
外观设计：非常好收到很满意,|
应该比空调节约吧,|
而热量本来就是向上的,|
共分为三个档,|
打算买第二个,|
我主要是买来洗澡用的,|
100平的房子靠这个玩意儿,|
拿手上就感觉得出来,|
耗电是真的😭,产品功耗
外观设计：小巧美静音效果：声音小安全设计：倾斜就停了,|
艾美特的这款取暖器还是值得购买的,|
能感觉到热风往上吹,|
相对这个价格也算合理的,|
申请退货也不给我通过,|
产品质量很棒,|
静音效果：什么噪音,|
但是真的是暖和,制热效果
售后服务太差劲了,|
直接将屋里温度提升了,|
耗电情况：耗电一个小时在两度电左右而且不怎么暖和电暖气嘛也就耗电的确挺高的,产品功耗
缺点是开久了太干燥,|
晚上京东下单,|
届时补评,|
加个变动大,|
取暖发热速度很快,|
因为是给家里老人买的,|
我用了二晩坏了,|
不到一个月降了*-*,|
还不如买个烤脚炉,|
在家里使用增温快,|
店家服务的很周到店家的宝贝我很满意,|
整个房间真的是温度高几度的,|
今天妈妈收到了,|
颜色好看质感很赞,|
同时给其他买家作为参考,|
美的的售后给我打电话,|
打开很快就装好了,|
其他特色：包装完好无损送货人员服务态度很好,|
小孩冬天出生,|
耗电情况：未精测,产品功耗
我家就晚上开节能模式,|
40平的房间很快就暖和了,制热效果
给店家造成的困扰,|
电暖气烧热有气味,|
袜子??放上去一会就干了,|
办公条件限制,|
一点不用担心影响睡眠,|
彻底服了,|
一直是京东的忠实用户,|
那是温度达到了一定值自动开启待机模式,|
到手就拿来用了,|
拿到后就迫不及待的打开试了试,|
2014年买过一个艾美特的油汀,|
买的时候说是暖风机,|
所以特意模仿网友写下的这个模板,|
每**两度电,|
瓦开一天也废不了几度电,|
操作也简便,|
方便包宝玩耍,|
洗完澡进房间穿着睡衣一点都不冷了,|
京东加油＾０＾,|
外观设计：面板居然塑料拉丝了,|
很舒适因为房间较大没有想象中那么热,|
出风散热面积小,|
但是物流太慢了,|
安全设计：恰到好处,|
一直用这个品牌,|
*买到这种,|
为了安全,|
今早就到了,|
需求各不同,|
这两个后来打开,|
两台正常发货,|
安全设计：自动断电功能,|
不算很贵,|
这个东东不太热,|
所以就是踢脚线取暖器了,|
什么垃圾产品,|
没多长时间屋里就暖和了,制热效果
也没了温度,|
比我妈买的那个*块的小太阳差太远了,|
取暖效果：很快就热还不错,|
浴室根本没用,|
京东最差的一次购物,|
给宝宝哄衣服的,|
其他特色：整体来说还不错,|
只是不需要开电热毯了,|
还可以烘干口罩等小衣物,|
还比较划算,|
放在卧室和卫生间逗挺适合的,|
App连接使用也很方便,|
正好阴天派上用场,|
商家给我拒了,|
放卧室还可以,|
丹鸟快递真扯淡有多远给发多远还不送货,|
而且我们在农村,|
直接就是废品,制热效果
具体不清楚,|
稍微调一下温度就会一直自动关,|
卧室比较小,|
设计的不是特别复杂,|
机壳手摸不烫手,|
宝宝冲完凉用不错,|
不到一个月降*,|
很喜欢哦,|
三个功率,|
冬天终于不冷了,|
搬动容易,|
天冷换尿不湿也用,|
有嗡嗡声,|
还可以用券,|
安全设计：反正加热中我是一点不敢碰的,|
老妈买来要放在地下室的,|
打开整个房间温度有上去的,|
双十一前提前预购,|
但价格低,|
真特么服了,|
送货速度神速,|
好外观设计：好安全设计：好静音效果：可以,|
选择退货了,|
我只能说垃圾,|
联系客服也没人管,|
这是个幼稚园的想法,|
开着放在通风的地方吹一次就好了,|
20天下来就这么多,|
比吹风的好,|
房间就已经非常暖了,|
好货源,|
一点也没感觉,|
指头站在前面才有热气,|
桌底下等等,|
取暖效果：电烤炉取暖效果差不多,制热效果
格力很值得信赖,|
取暖效果：取暖效果比较理想,|
卧室十几平还开着暖气,|
卧室里根本没啥用,|
那个加湿盒感觉也没多大用,|
疯狂购物,|
推拉跟方便,|
散热量微热起不作用,|
而且吹出来的热风上升后整个人都很暖,|
外观我喜欢,|
升温忙,|
等你的票我都等跨年了,|
货还好,|
取暖设备必不可少,|
耗电情况：还没感受,产品功耗
相当凑活,|
工作完全没有声音,声音
等天气凉了在用,|
取暖效果棒棒极了,|
家里有小孩打空调总感觉干燥,|
开3档都不行,|
侧翻断电,|
东西外观好好,|
特地用了几天来评论,|
高档打开就只能感觉房间不冷,|
京东的快递无话可说,|
我很喜欢美的的产品,|
东西有质感,|
但是有了小孩子就不行了,|
如今像林依晨这样大胆爆出素颜照,|
联系了客服可以退差价,|
外观设计：简约美观取暖效果：重点推荐下,|
质量有待提高,|
跟空调一起开才稍微热一点,|
其他特色：质量不错哦,|
开关就是两个按键比较简单,|
不是京东,|
安全设计：安全也就一个倾倒断电,|
市面上这类产品很多,|
客服说会退差价,|
后来放卧室开2000勉强还有点温度,|
就是用电暖气比较干,|
还没用老爸说看起来还行,|
这是买的第2个取暖器了,|
连个电话都没有,|
相差三天,|
不过估计只能很小的地方用,|
可能也是应该习惯温度升起来了,|
京东这速度没谁了,|
实在是买得起,|
可根据需要选择功率,|
取暖效果：暖暖的陪我们过冬,|
给客服点赞??,|
屋里不会冷啦,|
直接和我说睡醒了再买就好,|
但好像很多地方里面都是空的,|
只能近距离的取暖,|
双十一期间买的,|
取暖效果：现在用是很暖和,制热效果
取暖烘衣一举两得,|
刚买一天就降价了,|
散热比较均匀的那种,|
25号到今天1.4号我用了200多元钱,|
这到底是什么原因,|
一冬天都很暖,|
无赖只有确认收货,|
小小的13片暖气,|
暂时总体很满意的,|
默认好评吧,|
取暖效果：15个平方的房间和还有一个空调房间打起来的效果一样,|
老人小孩都说这下不用在挨冻了,|
还是有小的声音,|
而且会发出很大的响声,|
做工比较好,|
热冷风2档选择,|
开的一档,|
商家和物流都很给力,|
要求退换货,|
一般够用耗电情况：具体没测过,产品功耗
感觉今年不冷,|
但是早几年前买的两个油汀都很好用,|
可惜制热效果和想象有差距,|
也比较容易调节到合适的档位,|
安静温暖如春,|
放在浴室正好,|
可是刚过双11就降20块,|
但收到后就有太阳了,|
京东价保很给力,|
才能有效果,|
用久了有点微热,|
也可放浴室,|
因为怕天天空调宝宝受不了,|
安全1500w的功率,|
满意不错,|
还可以当炉子的手把,|
VCR做的好就是欺骗消费者的吗,|
刚好这个小东西可以满足需要,|
就是有气味,|
收货后试用,|
衣服就被烘干了,|
使用后再来评吧,|
我是真心想买,|
便宜了,|
联系客服推来推去的,|
安全设计：说是倾倒自动断电,|
申请说了48小时上门,|
况且退的话,|
以前在实体店买的效果很好,制热效果
已经使用了,|
哈哈??心动不如行动,|
好不容易熬到了天猫还有一天就可以退款给我了,|
待以后用了再评价,|
因为我买来房间用,|
应该比较安全,|
